Name,Score,Genres,Type,Episodes,Producers,Studios,Source,Duration,Rating,Sypnosis
Tenchi in Tokyo,6.87,"Comedy,Harem,Romance,Sci-Fi,Shounen",TV,26,Pioneer LDC,AIC,Original,23 min. per ep.,PG-13 - Teens 13 or older,"Tenchi Masaki heads out to tackle the big world, setting off to school in Tokyo! But not everyone is happy to hear he is moving away, as his female friends sulk and complain at the prospect of him being alone. However, Tenchi is not by himself for very long, as he soon meets a kind and compassionate girl named Sakuya Kumashiro who helps him get used to life in Tokyo. The two become close friends, but Sakuya wants more than just that, so she proclaims her love for Tenchi. This confession comes as a shock not only to Tenchi, but also the girls back home. In response, the girls decide to step up their game, and they immediately flock to Tokyo to take Tenchi for themselves. With the girls competing for his love, Tenchi must decide once and for all who the most important woman in his life is. However, he is going to have a hard time deciding, as strange events start happening that drive Tenchi further apart from his friends."
The Ones Within,6.87,"Game,Comedy,Drama",TV,12,"Lantis, AT-X, Docomo Anime Store, Kadokawa Media House, Kadokawa, Muse Communication, Bandai Namco Arts, Bit Promotion",SILVER LINK.,Web manga,23 min. per ep.,PG-13 - Teens 13 or older,"Iride Akatsuki has unlocked hidden content in the game he's playing, 'Nakanohito Genome,' and it turns out that this content is a real-life game! He soon wakes up to find that he has been kidnapped and taken to a strange place, along with a number of other teammates. Each of them specializes in a certain sort of game, like cultivation games, fighting games, puzzle games, etc. A llama-headed 'teacher' gathers them after level 1 is cleared to explain how the game will proceed. Will this group of gamers succeed, and make it back to their real lives? (Source: MangaHelpers)"
By the Grace of the Gods,6.86,"Adventure,Slice of Life,Magic,Fantasy",TV,12,"Lantis, Toei Video, KlockWorx, Nikkatsu, Asmik Ace, Hobby Japan, AMG MUSIC, BS Fuji, Hakuhodo DY Music & Pictures, Amusement Media Academy, Exa International, Bandai Namco Arts",Maho Film,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,"Deep in the forest, far from any human contact, there lives a child named Ryouma Takebayashi. He engages in the rather strange hobby of keeping various types of slimes as pets. Furthermore, despite his young age, he has a sturdy physique and good compatibility for magic. All of this is because, having endured much hardship in his previous life, three gods grace Ryouma with a second chance to pursue one goal: savor the wonders of life. After three years of comfortable solitude pass by, Ryouma meets people that will change his current life forever. When he encounters and helps some soldiers tend to their wounded comrade, the group convinces him to accompany them to visit the nearby town's ducal family. Ryouma agrees and soon embarks on a journey to explore the vast world beyond his home."
Hero Tales,6.86,"Action,Fantasy,Shounen",TV,26,"Square Enix, Genco, Tohokushinsha Film Corporation",Studio Flag,Manga,24 min. per ep.,PG-13 - Teens 13 or older,"For citizens of the Ken Empire, justice is a myth. Lord Keiro, the deranged Shogun of the Imperial Army, blazes a trail of terror across the countryside in search of the sacred sword that will make him a god. Standing in his way is Taito, an omnipotent star reborn in human form—a young hero who vows to use his celestial strength to avenge those slaughtered by the villainous Shogun. Taito's mystical powers steer him toward a violent showdown with Keiro, and if used recklessly, his newfound abilities could shred the very fabric of his being. To master the art of control and become a heroic martial artist, Taito must seek the guidance of others like him: the seven star-born warriors with the strength to shatter a corrupt empire. (Source: RightStuf)"
Loveless,6.86,"Action,Mystery,Supernatural,Drama,Romance,Fantasy,Josei,Shounen Ai",TV,12,"Bandai Visual, TV Asahi, Movic",J.C.Staff,Manga,24 min. per ep.,PG-13 - Teens 13 or older,"In the world of Loveless , each person is born with cat ears and a tail, which disappear only if that person engages in a sexual intercourse. Because of this, they have come to symbolize virginity and innocence. Additionally, fighting is only done by ""fighting pairs"" or couples, where one is known as the Sacrifice and the other as the Fighter. The first receives the damage while the latter attacks. Ritsuka Aoyagi is a 12-year-old boy, who for some unknown reason suffers from amnesia. His brother got killed recently, and as if his life has not been hard enough lately, on his first day at the new school he gets approached by a stranger called Agatsuma Soubi, who claims to have known his late brother. Ritsuka finds out that Agatsuma and his brother used to be a fighting pair, and that Agatsuma has inherited Ritsuga now that his brother is gone. Together, they try to find the truth behind his brother's death and the organization known as the ""Seven Moons,"" which may have been responsible for it. All the while, it seems that Ritsuka and Agatsuma are becoming closer than they intended to be…"
The Day I Became a God,6.86,"Drama,Fantasy",TV,12,"Aniplex, Movic, Visual Art's, Tokyo MX, Nagoya Broadcasting Network, ABC Animation",P.A. Works,Original,24 min. per ep.,PG-13 - Teens 13 or older,"Dressed in a conspicuous outfit and armed with an eccentric spirit, Hina Satou goes around insisting that she is the Asgardian god ""Odin."" When she crosses paths with a boy named Youta Narukami, she uses her precognition abilities to warn him about an impending catastrophe threatening the end of the world. But being a teenager preoccupied with his problems, Youta finds it hard to believe such a preposterous claim. Somehow forced to tag along with her antics, he witnesses the effectiveness of Hina's skills with his own eyes and realizes that she truly is capable of divination. Nevertheless, despite her persistence in being a god, Hina is still a child who desires to see and experience the wonders life has to offer. With the world ending in 30 days, Hina, Youta, and their friends venture forward to create lasting memories they will cherish forever."
The Magnificent Kotobuki,6.86,"Action,Military,Adventure",TV,12,"Digital Frontier, Bandai Namco Arts","WAO World, GEMBA",Original,24 min. per ep.,PG-13 - Teens 13 or older,"In a barren frontier where people trade goods with each other in order to help each other survive. The Kotobuki Squadron are bodyguards for hire, led by a strict but beautiful squadron leader, an unreliable commanding officer, and a true artisan of a crew chief. Alongside pilots who don't lack for personality, they take to the air in dogfights, letting the engine noise of their Hayabusa fighters ring out in the skies. (Source: ANN)"
Yashahime:Princess Half-Demon,6.86,"Action,Adventure,Comedy,Historical,Demons,Supernatural,Magic,Fantasy",TV,24,"Shogakukan, Yomiuri TV Enterprise",Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,"Half-demon twins Towa and Setsuna were always together, living happily in Feudal Japan. But their joyous days come to an end when a forest fire separates them and Towa is thrown through a portal to modern-day Japan. There, she is found by Souta Higurashi, who raises her as his daughter after Towa finds herself unable to return to her time. Ten years later, 14-year-old Towa is a relatively well-adjusted student, despite the fact that she often gets into fights. However, unexpected trouble arrives on her doorstep in the form of three visitors from Feudal Japan; Moroha, a bounty hunter; Setsuna, a demon slayer and Towa's long-lost twin sister; and Mistress Three-Eyes, a demon seeking a mystical object. Working together, the girls defeat their foe, but in the process, Towa discovers to her horror that Setsuna has no memory of her at all. Hanyou no Yashahime: Sengoku Otogizoushi follows the three girls as they endeavor to remey Setsuna's memory loss, as well as discover the truth about their linked destinies."
Etotama,6.85,"Action,Comedy,Fantasy",TV,12,"Pony Canyon, Tablier Communications","Shirogumi, Encourage Films",Original,24 min. per ep.,PG-13 - Teens 13 or older,"Every 60 years, the heavens conduct a sacred ritual called ETM12. This custom involves selecting worthy Eto-musume—celestial beings representing different animals—to become one of the members of the Chinese zodiac, or Eto-shin. However, since the first ETM12 two thousand years ago, the original batch of Eto-shin reigns with no one being able to replace them. Nyaa-tan is a cat Eto-musume who aspires to become a member of the zodiac in the ongoing ETM12. Fulfilling her ambition requires her to secure 12 seals, one for each Eto-shin. To that end, she must win various types of battles using Sol/Lull—divine energy created by people's positive emotions. This task is not easy however, as her powers as an Eto-musume are far below the abilities of a single Eto-shin. As such, she needs a constant source of energy. But in a chance encounter, Nyaa-tan meets Takeru Amato, a man who has just transferred to the apartment where she is secretly staying. To Nyaa-tan's delight, Takeru discovers that he gives out high quality Sol/Lull—something that sets him apart from most people. With this, the story of Takeru and Nyaa-tan begins. As Takeru supports Nyaa-tan in her dreams, he meets the Eto-shin and begins to uncover a mysterious past."
Hoop Days,6.85,"Drama,Shounen,Sports",TV,26,OB Planning,A.C.G.T.,Manga,24 min. per ep.,PG-13 - Teens 13 or older,"kawa Kazuhiko was the captain of Tendoji high school prestigious basketball team. He moves into a new town to attend Mizuho high school and joins its basketball team. However, Mizuho high's basketball team is far from being prestigious, in fact, it's now defunct. Nevertheless to say, Kazuhiko's persistence, passion and basketball skills inspired other team members of the dysfunctional basketball team to gear up and start practicing again. The goal is to play in the national tournaments where all young basketball players meet their opponents to compete with them. The tale of youth of the five protagonists: Fujiwara Takumi, Ishii Tsutomu, Dobashi Kenji, Miura Ranmaru and Aikawa Kazuhiko have just began along with the live of Mizuho high school basketball team. (Source: AnimeNfo)"
